Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
Space Exploration,Jul-24,11849541,9954740,1894801,,1.6,Low
Cybersecurity,Apr-24,9110059,3306064,5803995,7700433.901392624,11.11,Low
nil,Jul-24,8869122,2330850,6538272,8617312.434257451,-4.8,High
Space Exploration,Jul-24,11821387,10544107,1277280,11173777.38960234,13.67,High
-,Jan-24,3853369,2361324,1492045,2897291.778330418,4.54,Medium
Defense Systems,Jan-24,3070778,,-2501109,2435251.027283635,4.76,Low
Energy Production,Feb-24,4933105,8205091,-3271986,5917194.338420244,-2.59,Medium
Tech Innovation,Jun-24,11392639,2492220,8900419,8701231.272304615,14.88,Medium
Cybersecurity,,2902152,2765925,136227,3421113.574599681,,Medium
Energy Production,Jun-24,2673289,1815159,858130,2174146.865549599,14.2,Low
Tech Innovation,Apr-24,3711595,3630991,80604,2872908.599570472,13.27,Medium
R&D,Sep-24,5779384,7925536,-2146152,5136086.170324028,3.06,Medium
Medical Research,Feb-24,9860676,8122968,1737708,9593657.661835983,0.29,High
Energy Production,Jan-24,4170624,9781032,,-,-0.38,Medium
Medical Research,Jun-24,6169370,2105904,4063466,6949830.808968402,11.15,Medium
Energy Production,Oct-24,7877528,9502938,,7114601.387453756,5.06,High
Tech Innovation,Mar-24,9495117,-,2163536,7964754.65521914,2.77,
-,Jan-24,,10983084,-3883844,6517041.522010995,4.39,High
Cybersecurity,nil,,1562639,6146614,6728520.980646399,,Medium
Space Exploration,Aug-24,2074596,7378608,-5304012,1670049.057357074,13.95,High
Energy Production,Jun-24,4024098,10600385,-6576287,4073501.240805583,4.81,High
Administration,Oct-24,11172513,8384146,2788367,12892903.71959332,14.47,Medium
Administration,Nov-24,7865137,,5861261,7252590.875722922,0.11,Low
Defense Systems,Dec-24,8131306,6846252,1285054,9031952.389415152,3.33,High
Space Exploration,Aug-24,9620396,9024375,596021,7430995.14086211,-0.43,Medium
Space Exploration,,5867507,8550467,-2682960,4486152.977548953,1.43,High
Energy Production,Jun-24,11868417,5275016,6593401,11728089.3458263,3.29,Medium
Defense Systems,Jun-24,9168406,7041211,2127195,6899426.99164679,7.62,High
Defense Systems,Jul-24,11406084,5065642,6340442,10066460.15890674,10.04,Low
R&D,Feb-24,8373366,7118114,1255252,6252938.013015749,-1.16,-
Space Exploration,Dec-24,11297361,8728578,2568783,13448748.81891826,5.69,Medium
Medical Research,Oct-24,6151379,5970884,180495,-,11.35,Low
R&D,Dec-24,9968246,2611105,7357141,10033351.80886282,-4.36,Medium
Energy Production,Sep-24,5704419,5377685,326734,5177851.129986986,,High
R&D,Apr-24,5550141,4751087,799054,5640929.878407716,5.72,Medium
Energy Production,Sep-24,9388426,7954863,1433563,7496203.099337675,12.02,Medium
,Feb-24,8390847,10823810,-2432963,8730997.814135471,10.43,Medium
Administration,,10566765,7276295,3290470,,2.17,High
R&D,Nov-24,4419403,2338945,2080458,4293851.072599358,-4.5,High
Tech Innovation,May-24,11615177,7520562,4094615,10905952.84957759,-1.43,
Energy Production,Jul-24,,4465196,4299561,8008215.757028336,7.04,Medium
Medical Research,Jun-24,5595804,6007509,-411705,6269971.735203768,-3.17,-
Administration,Jul-24,,6207018,-3368928,2248165.923673898,-0.47,Medium
R&D,Feb-24,11517895,3530511,7987384,10288177.74135664,,Low
Administration,Feb-24,10517220,2682741,7834479,7934267.2302473,,High
Space Exploration,May-24,10954905,8187079,2767826,12016970.49113387,14.24,High
,Dec-24,5225573,5003811,221762,4558092.308779378,3.4,High
Defense Systems,Apr-24,11295773,8797440,2498333,13109863.44519241,8.89,Medium
Medical Research,Jun-24,-,7423194,83219,7392227.419823132,11.46,nil
Cybersecurity,Jun-24,3141231,9284004,,2410134.50574086,1.4,Medium
Defense Systems,,9104505,2296774,6807731,6831081.821526154,,Medium
Defense Systems,May-24,5985871,4944719,1041152,5495824.279871565,0.98,Medium
R&D,Dec-24,4790767,3846099,944668,4065124.782103993,11.15,Medium
-,Oct-24,10644809,5779954,-,8237551.522081545,9.78,High
R&D,Sep-24,5585859,4553525,1032334,4560310.56248774,-4.03,Medium
,Aug-24,8498440,8884174,-385734,9276803.068650251,0.4,Medium
Energy Production,Aug-24,,4817518,1129748,4378358.269633198,,Low
Energy Production,,2392379,-,-6570878,2222412.414032102,0.66,Low
Medical Research,Apr-24,8132108,4335138,3796970,7051142.016981694,6.54,Medium
Defense Systems,Jun-24,6438298,10033521,,7029990.347334192,2.63,Medium
Medical Research,Dec-24,2795263,4720615,-1925352,,10.45,High
Energy Production,Mar-24,10872415,2808423,8063992,8316455.051028741,2.42,
Space Exploration,Jun-24,4243726,3703953,539773,4561398.821816248,10.01,High
Administration,Sep-24,2225920,9231489,-7005569,2426194.247715049,13.92,Low
Energy Production,Jan-24,2507830,10934194,-8426364,2714139.460368811,0.65,Medium
Energy Production,Aug-24,7861151,6891376,969775,7204654.312871586,14.66,Medium
R&D,Mar-24,5692826,2934553,2758273,4346381.487972662,11.1,High
Medical Research,Jun-24,10328063,4164461,6163602,11793326.33323773,11.79,High
R&D,Apr-24,2054279,10070787,-8016508,,14.03,Medium
Tech Innovation,Nov-24,3907315,3893543,13772,3509681.91110526,5.84,Medium
Space Exploration,Dec-24,10079282,3287958,6791324,nil,6.48,Low
Tech Innovation,Mar-24,10745117,2860600,7884517,11514591.67946756,0.35,Low
